epoch,step,mem_allocated_gb,mem_reserved_gb,timestamp
0,0,1.322,2.865,1786491955.3508823
0,20,1.325,3.543,1786491956.4422724
0,40,1.325,3.543,1786491957.5265
0,60,1.325,3.543,1786491958.609061
0,80,1.325,3.543,1786491959.6923082
0,100,1.325,3.543,1786491960.7769108
0,120,1.325,3.543,1786491961.860131
0,140,1.325,3.543,1786491962.945153
0,160,1.325,3.543,1786491964.028961
0,180,1.325,3.543,1786491965.1131968
0,200,1.325,3.543,1786491966.1993172
0,220,1.325,3.543,1786491967.2847493
0,240,1.325,3.543,1786491968.369042
0,260,1.325,3.543,1786491969.4564764
0,280,1.325,3.543,1786491970.5420585
0,300,1.325,3.543,1786491971.6290195
0,320,1.325,3.543,1786491972.7158802
0,340,1.325,3.543,1786491973.8030844
0,360,1.325,3.543,1786491974.889816
0,380,1.325,3.543,1786491975.9767227
0,400,1.325,3.543,1786491977.0632222
0,420,1.325,3.543,1786491978.1529634
0,440,1.325,3.543,1786491979.2412643
0,460,1.325,3.543,1786491980.3297987
0,480,1.325,3.543,1786491981.5521255
0,500,1.317,3.543,1786491982.7089667
1,0,1.325,3.543,1786492000.8868854
1,20,1.325,3.543,1786492001.9763281
1,40,1.325,3.543,1786492003.0668874
1,60,1.325,3.543,1786492004.1571608
1,80,1.325,3.543,1786492005.2466047
1,100,1.325,3.543,1786492006.3354414
1,120,1.325,3.543,1786492007.427136
1,140,1.325,3.543,1786492008.5183995
1,160,1.325,3.543,1786492009.6101902
1,180,1.325,3.543,1786492010.7117205
1,200,1.325,3.543,1786492011.804152
1,220,1.325,3.543,1786492012.8988836
1,240,1.325,3.543,1786492013.9917228
1,260,1.325,3.543,1786492015.0924208
1,280,1.325,3.543,1786492016.1893568
1,300,1.325,3.543,1786492017.285772
1,320,1.325,3.543,1786492018.3805315
1,340,1.325,3.543,1786492019.4754329
1,360,1.325,3.543,1786492020.5711305
1,380,1.325,3.543,1786492021.666409
1,400,1.325,3.543,1786492022.7595556
1,420,1.325,3.543,1786492023.860911
1,440,1.325,3.543,1786492024.9572036
1,460,1.325,3.543,1786492026.0547705
1,480,1.325,3.543,1786492027.155997
1,500,1.317,3.543,1786492028.2336283
2,0,1.325,3.543,1786492047.0125911
2,20,1.325,3.543,1786492048.1044476
2,40,1.325,3.543,1786492049.1954951
2,60,1.325,3.543,1786492050.2863722
2,80,1.325,3.543,1786492051.3764691
2,100,1.325,3.543,1786492052.4682426
2,120,1.325,3.543,1786492053.560747
2,140,1.325,3.543,1786492054.654379
2,160,1.325,3.543,1786492055.7497587
2,180,1.325,3.543,1786492056.839553
2,200,1.325,3.543,1786492057.9325016
2,220,1.325,3.543,1786492059.0229068
2,240,1.325,3.543,1786492060.1149862
2,260,1.325,3.543,1786492061.2049956
2,280,1.325,3.543,1786492062.299621
2,300,1.325,3.543,1786492063.3933625
2,320,1.325,3.543,1786492064.4890037
2,340,1.325,3.543,1786492065.5841017
2,360,1.325,3.543,1786492066.6776226
2,380,1.325,3.543,1786492067.7709463
2,400,1.325,3.543,1786492068.8650782
2,420,1.325,3.543,1786492069.957945
2,440,1.325,3.543,1786492071.0528727
2,460,1.325,3.543,1786492072.1514344
2,480,1.325,3.543,1786492073.243753
2,500,1.317,3.543,1786492074.3208416
3,0,1.325,3.543,1786492089.4149368
3,20,1.325,3.543,1786492090.5056345
3,40,1.325,3.543,1786492091.600102
3,60,1.325,3.543,1786492092.6949155
3,80,1.325,3.543,1786492093.788369
3,100,1.325,3.543,1786492094.8812232
3,120,1.325,3.543,1786492095.9765363
3,140,1.325,3.543,1786492097.0702615
3,160,1.325,3.543,1786492098.167376
3,180,1.325,3.543,1786492099.4507205
3,200,1.325,3.543,1786492100.5452008
3,220,1.325,3.543,1786492101.6398387
3,240,1.325,3.543,1786492102.7320786
3,260,1.325,3.543,1786492103.8234859
3,280,1.325,3.543,1786492104.9182093
3,300,1.325,3.543,1786492106.0128722
3,320,1.325,3.543,1786492107.107059
3,340,1.325,3.543,1786492108.2025723
3,360,1.325,3.543,1786492109.2988567
3,380,1.325,3.543,1786492110.3928554
3,400,1.325,3.543,1786492111.4883487
3,420,1.325,3.543,1786492112.5848513
3,440,1.325,3.543,1786492113.6794665
3,460,1.325,3.543,1786492114.7735758
3,480,1.325,3.543,1786492115.8696144
3,500,1.317,3.543,1786492116.9481978
4,0,1.325,3.543,1786492132.565036
4,20,1.325,3.543,1786492133.6591702
4,40,1.325,3.543,1786492134.7527103
4,60,1.325,3.543,1786492135.8458676
4,80,1.325,3.543,1786492136.9389496
4,100,1.325,3.543,1786492138.0334606
4,120,1.325,3.543,1786492139.1295168
4,140,1.325,3.543,1786492140.2211206
4,160,1.325,3.543,1786492141.3171413
4,180,1.325,3.543,1786492142.4146779
4,200,1.325,3.543,1786492143.5139358
4,220,1.325,3.543,1786492144.6102824
4,240,1.325,3.543,1786492145.7074008
4,260,1.325,3.543,1786492146.7997139
4,280,1.325,3.543,1786492147.8942676
4,300,1.325,3.543,1786492148.9886882
4,320,1.325,3.543,1786492150.0808358
4,340,1.325,3.543,1786492151.1770425
4,360,1.325,3.543,1786492152.2730575
4,380,1.325,3.543,1786492153.3674755
4,400,1.325,3.543,1786492154.4592679
4,420,1.325,3.543,1786492155.5526304
4,440,1.325,3.543,1786492156.6453097
4,460,1.325,3.543,1786492157.736887
4,480,1.325,3.543,1786492158.8307958
4,500,1.317,3.543,1786492159.908207
5,0,1.325,3.543,1786492166.69574
5,20,1.325,3.543,1786492167.792994
5,40,1.325,3.543,1786492168.8883774
5,60,1.325,3.543,1786492169.9822085
5,80,1.325,3.543,1786492171.076807
5,100,1.325,3.543,1786492172.1713312
5,120,1.325,3.543,1786492173.266523
5,140,1.325,3.543,1786492174.3617334
5,160,1.325,3.543,1786492175.4585774
5,180,1.325,3.543,1786492176.555353
5,200,1.325,3.543,1786492177.653523
5,220,1.325,3.543,1786492178.7491465
5,240,1.325,3.543,1786492179.8435357
5,260,1.325,3.543,1786492180.9387333
5,280,1.325,3.543,1786492182.037225
5,300,1.325,3.543,1786492183.1338232
5,320,1.325,3.543,1786492184.2316015
5,340,1.325,3.543,1786492185.3294466
5,360,1.325,3.543,1786492186.4286056
5,380,1.325,3.543,1786492187.5282664
5,400,1.325,3.543,1786492188.6259348
5,420,1.325,3.543,1786492189.7236755
5,440,1.325,3.543,1786492190.8219118
5,460,1.325,3.543,1786492191.9209745
5,480,1.325,3.543,1786492193.0188725
5,500,1.317,3.543,1786492194.1011982
6,0,1.325,3.543,1786492200.3407183
6,20,1.325,3.543,1786492201.4362113
6,40,1.325,3.543,1786492202.5355632
6,60,1.325,3.543,1786492203.6367903
6,80,1.325,3.543,1786492204.7366397
6,100,1.325,3.543,1786492205.8352418
6,120,1.325,3.543,1786492206.9343295
6,140,1.325,3.543,1786492208.034875
6,160,1.325,3.543,1786492209.1378233
6,180,1.325,3.543,1786492210.2383394
6,200,1.325,3.543,1786492211.340878
6,220,1.325,3.543,1786492212.4389226
