epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc_roc,train_n_samples,train_time_s,train_throughput_img_s,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,val_n_samples,val_time_s,val_throughput_img_s
1,0.6599780053255104,0.6293125,0.6415378300725133,0.586125,0.612580834803057,0.6956512890625,16000,38.06,420.43,0.42827180832151385,0.8145,0.7872146118721461,0.862,0.8229116945107399,0.9003800000000001,2000,2.22,900.0
2,0.38504689698299716,0.8244375,0.8296710275625556,0.8165,0.823032823032823,0.9067669218750001,16000,27.75,576.62,0.3650964455945151,0.831,0.876993166287016,0.77,0.820021299254526,0.9276325,2000,1.62,1234.47
3,0.20310819508241756,0.92075,0.9240362811791383,0.916875,0.9204417116325763,0.974477203125,16000,27.72,577.26,0.34157833409687827,0.861,0.8275862068965517,0.912,0.8677450047573739,0.9347934999999999,2000,1.65,1209.21
4,0.15063416862505533,0.94175,0.9410883674488267,0.9425,0.9417936547589308,0.9857703750000001,16000,27.97,572.06,0.47577562863155015,0.816,0.9438202247191011,0.672,0.7850467289719626,0.945574,2000,1.61,1244.41
5,0.1184644481935908,0.9541875,0.9556112852664577,0.952625,0.9541158059467919,0.9912344140625,16000,27.74,576.79,0.46852372870558784,0.845,0.9116945107398569,0.764,0.8313384113166485,0.9426055,2000,1.61,1245.87
6,0.08469457638316921,0.966875,0.9664085914085914,0.967375,0.9668915542228885,0.9953825703125,16000,27.82,575.09,0.6412293083137937,0.823,0.9318181818181818,0.697,0.7974828375286042,0.941705,2000,1.61,1245.19
7,0.08121991858980249,0.9691875,0.9687773198451355,0.969625,0.9692009745736241,0.995699125,16000,27.91,573.24,0.503771994085539,0.8595,0.804919423240034,0.949,0.8710417622762735,0.947187,2000,1.66,1202.53
8,0.06750547470495341,0.97575,0.9764646970455684,0.975,0.9757317988491369,0.9970585390625,16000,27.89,573.77,0.4828606724502548,0.8555,0.7945318972659486,0.959,0.869053013140009,0.9486220000000001,2000,1.6,1253.28
9,0.06784730053521575,0.9755,0.9751436422682987,0.975875,0.975509184055979,0.996793515625,16000,27.86,574.3,0.4915286030561205,0.8545,0.9255702280912365,0.771,0.8412438625204582,0.9507245,2000,1.61,1244.56
10,0.0520030045512295,0.98,0.9804804804804805,0.9795,0.9799899949974987,0.9982881796875,16000,27.81,575.31,0.5047099994761604,0.8745,0.8457987072945522,0.916,0.8795007201152184,0.9434975,2000,1.61,1241.56
11,0.06616656206518648,0.9756875,0.975034327799276,0.976375,0.9757042033601898,0.9969874296875,16000,27.78,576.04,0.4340952337970809,0.871,0.8372727272727273,0.921,0.8771428571428571,0.9519655,2000,1.61,1238.41
12,0.05024595633296976,0.9803125,0.9800124921923797,0.980625,0.9803186504217432,0.9983780078125,16000,27.64,578.79,0.45941174556575126,0.8725,0.8892371995820272,0.851,0.8696985181400102,0.9473725,2000,1.59,1254.06
13,0.05074077585179891,0.981875,0.9805534779356769,0.98325,0.9818998876544751,0.99824840625,16000,27.75,576.63,0.4749302145034548,0.8485,0.9066511085180864,0.777,0.8368336025848142,0.94283,2000,1.61,1239.48
14,0.048729093486650124,0.981875,0.9800747198007472,0.98375,0.9819089207735496,0.9984252499999999,16000,27.78,575.88,0.6471460254064628,0.7985,0.952959028831563,0.628,0.75708257986739,0.939581,2000,1.61,1241.81
15,0.049245111370784425,0.9819375,0.9806757262186759,0.98325,0.981961175956557,0.9984006953124999,16000,27.87,574.12,0.7949060214653848,0.8095,0.9571639586410635,0.648,0.7728085867620751,0.94682,2000,1.63,1223.92
