epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake
1,2.9999992539982178e-05,0.5128253662011574,0.7344047619047619,0.8221274558322148,571.0,0.9586,0.9951,0.945,0.9901,0.906
2,2.9867738003879983e-05,0.1844534582558787,0.9518452380952381,0.9908305613079171,613.5,0.9895,0.9996,0.983,0.9987,0.996
3,2.9477206787713383e-05,0.11650966088127324,0.9863095238095239,0.9989692025349839,610.9,0.991,0.9999,0.986,0.9984,0.998
4,2.8835183050979045e-05,0.09643106797748793,0.9941071428571429,0.9997061361449558,614.6,0.9957,0.9999,0.99,0.9992,0.992
5,2.7952819785423463e-05,0.09154999185712666,0.9958928571428571,0.9997921777552319,614.0,0.9914,0.9998,0.979,0.9987,0.964
6,2.6845445069519574e-05,0.0919800657349408,0.9946428571428572,0.9997729576194122,614.8,0.9948,0.9999,0.99,0.9984,0.998
7,2.5532295794927437e-05,0.0898664240885547,0.9953571428571428,0.9998737438402869,614.3,0.9962,0.9999,0.991,0.9997,0.99
8,2.4036183490541512e-05,0.08426538437942926,0.9979166666666667,0.9999718795073897,614.0,0.991,1.0,0.986,0.9979,0.998
9,2.238309804930176e-05,0.08484318800312811,0.9977976190476191,0.9997715092293731,612.7,0.9952,0.9999,0.993,0.9984,0.992
10,2.060175624167554e-05,0.09035789570815171,0.9951785714285715,0.9997785121952123,612.3,0.9967,0.9993,0.992,0.9994,0.996
11,1.8723102858861995e-05,0.08195397116962137,0.9988690476190476,0.9998816448079505,614.1,0.9986,1.0,0.995,0.9991,1.0
12,1.6779773151669165e-05,0.0842102728150292,0.9977976190476191,0.9999281670960081,613.6,0.9962,1.0,0.994,0.9992,0.996
13,1.4805525903370827e-05,0.08246679797008043,0.9983333333333333,0.9999748776747709,612.9,0.9967,1.0,0.994,0.9997,0.998
14,1.2834656984985406e-05,0.08283521770191553,0.9982738095238095,0.9998835132311009,612.8,0.9981,1.0,0.995,0.9983,0.996
15,1.0901403580471201e-05,0.08114921588922494,0.9990476190476191,0.999959792692513,613.5,0.9976,1.0,0.996,0.9996,0.994
