epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake
1,2.9999992539982178e-05,0.49451117225991303,0.7468452380952381,0.838293270188935,409.1,0.9662,0.9952,0.964,0.9934,0.962
2,2.9867738003879983e-05,0.2311790754247478,0.9308333333333333,0.9811992962098992,424.9,0.9838,0.9987,0.977,0.9966,0.97
3,2.9477206787713383e-05,0.15689297580989411,0.9682738095238095,0.9955662608316401,422.3,0.9852,0.9996,0.988,0.9978,0.99
4,2.8835183050979045e-05,0.13021419119857436,0.9810119047619048,0.9980927599964405,423.1,0.9886,0.9995,0.985,0.9994,0.978
5,2.7952819785423463e-05,0.12406481960207393,0.9824404761904761,0.9983654701149629,423.4,0.9938,0.9998,0.992,0.998,0.99
6,2.6845445069519574e-05,0.11036286642510859,0.9882142857142857,0.9991160403171534,422.8,0.9781,0.9998,0.981,0.9978,0.998
7,2.5532295794927437e-05,0.107193123809782,0.9891666666666666,0.9992158126650006,422.2,0.9871,0.9999,0.984,0.9981,1.0
8,2.4036183490541512e-05,0.10681448550102617,0.9900595238095238,0.9992243509242813,422.1,0.9952,0.9998,0.992,0.9996,0.99
9,2.238309804930176e-05,0.09687338197614385,0.99375,0.9996656174336104,422.5,0.9857,0.999,0.981,0.9999,1.0
10,2.060175624167554e-05,0.09624979268963711,0.9942261904761904,0.9997149785661448,420.9,0.9924,0.9997,0.984,0.9995,0.97
11,1.8723102858861995e-05,0.09524139163343126,0.9942261904761904,0.9997672364787575,422.2,0.9952,0.9999,0.996,0.998,0.994
12,1.6779773151669165e-05,0.09214072532261702,0.9951785714285715,0.9997833570598933,421.7,0.9967,0.9999,0.995,0.9991,0.992
13,1.4805525903370827e-05,0.09000682701235233,0.9957142857142857,0.9999146825847436,422.5,0.9952,1.0,0.994,0.9982,0.998
14,1.2834656984985406e-05,0.08866811577505335,0.9967261904761905,0.9998384393330824,422.2,0.9957,0.9999,0.997,0.9997,0.996
15,1.0901403580471201e-05,0.0865318865457194,0.9976785714285714,0.9998454422989218,423.3,0.9967,1.0,0.998,0.9999,0.998
16,9.03934943141089e-06,0.08614845437284678,0.9977380952380952,0.9999510082069256,423.1,0.9967,1.0,0.997,0.9984,0.996
17,7.280841433047981e-06,0.08464376273475208,0.9982142857142857,0.9999775861641441,422.1,0.9962,1.0,0.998,0.9988,0.998
