epoch,lr,train_loss,train_accuracy,train_auc_roc,train_time_s,train_throughput_img_s,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,val_recall_fake,val_recall_real,val_n,valhard_loss,valhard_accuracy,valhard_precision,valhard_recall,valhard_f1,valhard_auc_roc,valhard_recall_fake,valhard_recall_real,valhard_n
1,1.9999989199162682e-05,0.44827908001807293,0.7935416666666667,0.8894782627667468,26.24,548.81,0.31077928553547773,0.8978,0.9863,0.8054,0.8867,0.9844,0.989,0.8054,1800,0.42253594752401114,0.846,0.9179,0.76,0.8315,0.9223,0.932,0.76,1000
2,1.9858732165800514e-05,0.21716769820793086,0.9483333333333334,0.9898981191946721,25.14,572.8,0.2913065459906009,0.9133,0.996,0.8289,0.9048,0.9891,0.9967,0.8289,1800,0.395584125071764,0.864,0.9354,0.782,0.8519,0.9433,0.946,0.782,1000
3,1.944376370237481e-05,0.16287745021710312,0.9785416666666666,0.9972820706052254,25.28,569.62,0.2167909763622702,0.9533,0.9666,0.9385,0.9523,0.9901,0.968,0.9385,1800,0.39545309310778975,0.887,0.8757,0.902,0.8887,0.9426,0.872,0.902,1000
4,1.8766604723506784e-05,0.1522719359870524,0.9832638888888889,0.9982739510095033,25.35,568.13,0.22458945776809724,0.9478,0.9292,0.9687,0.9485,0.9891,0.9272,0.9687,1800,0.46606884244829416,0.862,0.8057,0.954,0.8736,0.9484,0.77,0.954,1000
5,1.7846055430821677e-05,0.1391305548307129,0.9897222222222222,0.9992131200441305,25.32,568.66,0.21650350747401254,0.955,0.9573,0.9519,0.9546,0.9883,0.9581,0.9519,1800,0.41397117730230093,0.887,0.8672,0.914,0.89,0.9389,0.86,0.914,1000
6,1.6707673356374054e-05,0.1354563742350902,0.9921527777777778,0.9994337458207793,25.53,564.01,0.23038052493020109,0.9467,0.9555,0.9362,0.9458,0.9894,0.957,0.9362,1800,0.3603844209574163,0.889,0.8748,0.908,0.8911,0.9607,0.87,0.908,1000
7,1.5383063799944408e-05,0.1279681209425569,0.9952777777777778,0.9995968279503402,25.43,566.32,0.22466641010945304,0.9556,0.9722,0.9374,0.9544,0.9878,0.9735,0.9374,1800,0.40373175172135234,0.899,0.8829,0.92,0.9011,0.9429,0.878,0.92,1000
8,1.390900236004468e-05,0.12433715637297357,0.9969444444444444,0.9999363798363742,25.55,563.57,0.22263446816226892,0.9556,0.9733,0.9362,0.9544,0.989,0.9746,0.9362,1800,0.36680725729092956,0.91,0.9084,0.912,0.9102,0.9423,0.908,0.912,1000
9,1.2326413920111304e-05,0.12426871506062373,0.9965277777777778,0.999811570115738,25.39,567.14,0.23954849036639198,0.9528,0.9262,0.9832,0.9539,0.991,0.9227,0.9832,1800,0.4516415288671851,0.873,0.8083,0.978,0.8851,0.954,0.768,0.978,1000
10,1.067923643664936e-05,0.12134741768569147,0.998125,0.9999645729440574,25.52,564.18,0.27647038104764204,0.9406,0.9036,0.9855,0.9428,0.9859,0.8962,0.9855,1800,0.5356500442139804,0.85,0.7787,0.978,0.867,0.9446,0.722,0.978,1000
11,9.013201074375022e-06,0.11955317362552172,0.9990277777777777,0.9999644572008852,25.3,569.12,0.23566273704432605,0.9556,0.9522,0.9586,0.9554,0.9878,0.9525,0.9586,1800,0.4234860804863274,0.89,0.852,0.944,0.8956,0.9435,0.836,0.944,1000
