epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake,valhard_best_threshold,valhard_accuracy_tuned
1,1.9999995026654786e-05,0.4525215672522727,0.7735714285714286,0.8708041009599697,496.3,0.9038,0.9688,0.855,0.9344,0.846,0.49499999999999994,0.857
2,1.991182533591999e-05,0.20713664456103384,0.9379761904761905,0.9851338405093142,564.8,0.9033,0.9743,0.882,0.9571,0.926,0.39499999999999996,0.887
3,1.9651471191808924e-05,0.14213390784982471,0.9708333333333333,0.9958906060550583,565.3,0.9238,0.9819,0.888,0.9654,0.934,0.195,0.907
4,1.9223455367319365e-05,0.1168833197374425,0.9829166666666667,0.9984926822121017,565.6,0.9443,0.986,0.898,0.966,0.9,0.6499999999999999,0.907
5,1.8635213190282312e-05,0.10583784591779817,0.9877976190476191,0.9989713678780924,563.3,0.9395,0.9835,0.895,0.9636,0.914,0.195,0.9
6,1.7896963379679717e-05,0.09929547284242111,0.9909523809523809,0.9993404538698201,563.4,0.939,0.9844,0.894,0.9614,0.856,0.845,0.9
7,1.7021530529951627e-05,0.09804656852339526,0.9917261904761905,0.9993542280590925,563.0,0.9476,0.9842,0.888,0.9651,0.82,0.9299999999999999,0.909
8,1.6024122327027676e-05,0.10236291133839151,0.9890476190476191,0.999298095703125,563.2,0.9405,0.9841,0.902,0.9683,0.94,0.26499999999999996,0.918
9,1.4922065366201174e-05,0.0885051550002089,0.9955952380952381,0.9996681593581291,563.6,0.9571,0.9865,0.906,0.964,0.874,0.5149999999999999,0.909
10,1.3734504161117028e-05,0.08728500055624541,0.9960119047619047,0.9997489143447623,562.0,0.9205,0.9717,0.852,0.9257,0.726,0.95,0.892
11,1.2482068572574663e-05,0.08763266132267752,0.9955952380952381,0.9998319070940058,562.9,0.9529,0.9884,0.917,0.9679,0.884,0.5099999999999999,0.918
12,1.118651543444611e-05,0.08155299490757836,0.9985119047619048,0.9999868848281954,563.0,0.9371,0.9814,0.909,0.9693,0.956,0.21999999999999997,0.919
13,9.870350602247218e-06,0.08010304591042784,0.9991666666666666,0.9999551071507364,562.6,0.9471,0.9852,0.906,0.9582,0.914,0.43499999999999994,0.908
14,8.55643798999027e-06,0.07972512304050486,0.9993452380952381,0.9999974435915808,562.2,0.9543,0.9869,0.91,0.9638,0.906,0.7899999999999999,0.918
15,7.267602386980801e-06,0.07908106078384955,0.9995833333333334,0.9999991744176777,564.1,0.9605,0.987,0.907,0.9651,0.898,0.4499999999999999,0.914
16,6.026232954273926e-06,0.07844604074335279,0.9998809523809524,0.9999997972253946,562.2,0.9552,0.9866,0.909,0.9619,0.892,0.6749999999999999,0.913
17,4.853894288698654e-06,0.07799110661607608,1.0,1.0,564.8,0.9562,0.9868,0.913,0.9635,0.9,0.5299999999999999,0.917
18,3.770951810897776e-06,0.07797518427464371,1.0,1.0,562.2,0.9576,0.9867,0.914,0.9642,0.904,0.5249999999999999,0.918
