epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake,valhard_best_threshold,valhard_accuracy_tuned
1,1.9999995026654786e-05,0.4215556243698628,0.8049404761904762,0.8954317502970938,459.5,0.9157,0.9809,0.866,0.9586,0.766,0.845,0.891
2,1.991182533591999e-05,0.19357192910686558,0.9447023809523809,0.988192210222343,474.3,0.9319,0.983,0.906,0.97,0.908,0.43999999999999995,0.909
3,1.9651471191808924e-05,0.13965597723404716,0.9724404761904762,0.9965454304337106,474.3,0.9519,0.9852,0.924,0.9735,0.902,0.575,0.929
4,1.9223455367319365e-05,0.11275508299836139,0.9845833333333334,0.9987946642933154,473.6,0.9486,0.9877,0.896,0.9697,0.838,0.84,0.919
5,1.8635213190282312e-05,0.10092675566166245,0.9907142857142858,0.9993711380127995,475.6,0.9452,0.9888,0.932,0.9806,0.952,0.5399999999999999,0.933
6,1.7896963379679717e-05,0.09217189718566005,0.9936904761904762,0.9996984596777483,474.8,0.951,0.9876,0.93,0.9727,0.924,0.4649999999999999,0.934
7,1.7021530529951627e-05,0.0960797182440983,0.9920833333333333,0.9995024635376497,471.6,0.9443,0.9889,0.897,0.9733,0.826,0.8849999999999999,0.93
8,1.6024122327027676e-05,0.09331345991962123,0.9938690476190476,0.9993606444269659,471.1,0.9167,0.9827,0.893,0.9685,0.98,0.135,0.92
9,1.4922065366201174e-05,0.08875262524601643,0.9953571428571428,0.9998948396412071,472.0,0.9567,0.9904,0.924,0.9784,0.908,0.6649999999999999,0.933
10,1.3734504161117028e-05,0.08765098742704085,0.9958928571428571,0.9999005535399116,473.0,0.9405,0.9878,0.909,0.9754,0.95,0.065,0.921
11,1.2482068572574663e-05,0.0811473222305058,0.9989285714285714,0.9999655717687692,472.4,0.9152,0.9792,0.9,0.9763,0.974,0.05,0.93
