epoch,lr,train_loss,train_accuracy,train_auc_roc,train_throughput_img_s,val_accuracy,val_auc_roc,valhard_accuracy,valhard_auc_roc,valhard_recall_fake,valhard_best_threshold,valhard_accuracy_tuned
1,1.9999995026654786e-05,0.4299115621271791,0.7901785714285714,0.8867853469740004,436.5,0.8952,0.9807,0.871,0.955,0.958,0.25499999999999995,0.882
2,1.991182533591999e-05,0.18449459812253544,0.9508928571428571,0.9893752769321754,476.5,0.9352,0.9873,0.906,0.9757,0.958,0.235,0.924
3,1.9651471191808924e-05,0.13975576642330292,0.9720833333333333,0.9959710279119824,474.9,0.939,0.9862,0.887,0.9691,0.808,0.8049999999999999,0.915
4,1.9223455367319365e-05,0.10681607203808083,0.9870833333333333,0.9990451705925375,473.3,0.9533,0.9889,0.938,0.9823,0.916,0.5099999999999999,0.94
5,1.8635213190282312e-05,0.09950925085855566,0.9907142857142858,0.9993438865542129,475.5,0.9467,0.9861,0.898,0.9647,0.834,0.94,0.915
6,1.7896963379679717e-05,0.1035932055577664,0.9891666666666666,0.9988257395016056,473.1,0.9557,0.9897,0.928,0.9803,0.928,0.5299999999999999,0.933
7,1.7021530529951627e-05,0.09392072766005204,0.9933333333333333,0.9996607725689295,475.1,0.929,0.9814,0.905,0.9717,0.952,0.08,0.92
8,1.6024122327027676e-05,0.09016889874561072,0.9939880952380953,0.9998578550015573,472.5,0.9543,0.9927,0.926,0.978,0.882,0.83,0.948
9,1.4922065366201174e-05,0.08368103299113888,0.9979166666666667,0.9999470034084674,474.1,0.9629,0.9927,0.941,0.9815,0.928,0.38999999999999996,0.945
10,1.3734504161117028e-05,0.08509299840728818,0.9969642857142857,0.9997617253546586,473.9,0.96,0.9912,0.945,0.9805,0.958,0.5249999999999999,0.946
